episode	mean	max	min	stdev
0	9.5	12.0	8.0	1.2041594578792296
100	10.7	14.0	9.0	1.4177446878757824
200	182.8	236.0	136.0	37.85181633686817
300	160.0	176.0	151.0	7.681145747868608
400	158.6	173.0	140.0	10.26839812239475
500	171.8	176.0	166.0	3.7629775444453557
600	351.2	500.0	202.0	130.33096332031005
700	131.2	138.0	124.0	4.142463035441596
800	106.7	118.0	71.0	12.601983970788092
900	107.0	125.0	18.0	30.083217912982647
1000	113.4	117.0	107.0	2.90516780926679
1100	123.1	129.0	117.0	3.5341194094144583
1200	122.6	141.0	19.0	34.707924167256095
1300	118.4	135.0	18.0	33.592261013513216
1400	212.6	313.0	37.0	85.20469470633645
1500	205.9	500.0	13.0	120.3432175072613
1600	356.7	500.0	231.0	81.43960952755114
1700	453.0	500.0	30.0	141.0
1800	140.8	154.0	123.0	8.784076502399099
1900	134.3	142.0	128.0	4.172529209005012
2000	108.3	250.0	47.0	90.00116665910502
2100	136.8	164.0	14.0	46.88880463394221
2200	193.4	265.0	173.0	26.956260868302934
2300	382.7	500.0	268.0	91.86081863340866
2400	334.0	500.0	74.0	178.53235000973913
2500	500.0	500.0	500.0	0.0
2600	464.0	500.0	140.0	108.0
2700	484.0	500.0	402.0	32.99696955782455
2800	88.4	102.0	13.0	25.223798286538845
2900	82.3	103.0	17.0	31.067829019743233
3000	354.0	500.0	11.0	223.02062684872894
3100	500.0	500.0	500.0	0.0
3200	500.0	500.0	500.0	0.0
3300	301.2	435.0	164.0	95.46601489535425
3400	431.7	500.0	147.0	136.69678123496544
3500	111.5	145.0	13.0	45.22665143474586
3600	127.4	176.0	17.0	68.44150787351197
3700	155.6	192.0	12.0	48.4049584236987
3800	500.0	500.0	500.0	0.0
3900	500.0	500.0	500.0	0.0
4000	500.0	500.0	500.0	0.0
4100	157.9	197.0	132.0	17.626400653565096
4200	452.2	500.0	22.0	143.4
4300	500.0	500.0	500.0	0.0
4400	451.0	500.0	10.0	147.0
4500	161.4	500.0	96.0	118.58009951083697
4600	80.5	170.0	12.0	46.52364989980902
4700	315.2	500.0	83.0	138.66564102184793
4800	451.8	500.0	18.0	144.6
4900	451.6	500.0	16.0	145.20000000000002
5000	500.0	500.0	500.0	0.0
5100	339.5	500.0	43.0	199.8575742872909
5200	377.3	500.0	16.0	151.44705345433434
5300	452.0	500.0	20.0	144.0
5400	77.4	89.0	15.0	21.251823451177078
5500	162.0	205.0	147.0	16.522711641858304
5600	127.9	170.0	27.0	51.956616518014336
5700	95.4	161.0	13.0	65.68135199582908
5800	250.6	298.0	176.0	37.51852875580278
5900	254.8	437.0	86.0	128.1622409292222
6000	320.9	500.0	210.0	94.52666290523537
6100	463.4	500.0	309.0	73.28737954109152
6200	500.0	500.0	500.0	0.0
6300	231.1	500.0	21.0	162.96039396123217
6400	200.4	244.0	19.0	65.14476187691531
6500	149.6	308.0	95.0	75.30763573503022
6600	192.7	255.0	101.0	48.983772823252394
6700	162.9	301.0	88.0	66.87518224274233
6800	381.4	500.0	10.0	195.2973118094563
6900	223.7	500.0	16.0	173.3632313958182
7000	131.7	295.0	60.0	77.79852183685755
7100	217.9	500.0	13.0	230.81440596288616
7200	263.9	500.0	10.0	236.91029948062624
7300	209.6	500.0	13.0	237.11988529012072
7400	205.5	500.0	23.0	200.94986937044771
7500	215.3	500.0	15.0	232.6430957496912
7600	354.4	500.0	12.0	222.41726551686585
7700	347.1	500.0	38.0	199.6188618342465
7800	105.2	161.0	33.0	46.995318915823944
7900	212.8	500.0	14.0	234.53988999741603
8000	93.4	170.0	12.0	65.01876652167434
8100	56.3	168.0	10.0	48.06672445673826
8200	69.4	186.0	11.0	47.489367230991824
8300	168.4	500.0	27.0	151.2304202202718
8400	62.3	106.0	14.0	40.6891877530137
8500	124.6	191.0	36.0	48.012914929214624
8600	215.7	500.0	13.0	232.2550537663282
8700	69.5	136.0	23.0	38.75886995256699
8800	69.3	232.0	12.0	66.20883626828068
8900	174.9	500.0	11.0	213.89644690831122
9000	467.1	500.0	171.0	98.7
9100	146.9	238.0	51.0	59.63966800712426
9200	219.0	500.0	86.0	184.18686163784864
9300	49.5	111.0	11.0	39.9380770693833
9400	55.3	106.0	11.0	34.453011479404815
9500	280.9	500.0	28.0	192.43931510998473
9600	203.9	500.0	34.0	195.11045589614108
9700	120.5	276.0	18.0	92.71164975341557
9800	65.7	94.0	21.0	27.59003443274401
9900	81.1	212.0	20.0	60.11231155096267
