steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1007	82	1.7982819080352783	9.27	9.0	0.7634980634744878	11.0	8.0	4.724916	0.23619415609166025	1007	508	1007
2034	122	4.063812017440796	23.78	23.5	3.823320255717245	32.0	17.0	14.9538555	0.6370160388667137	2034	1535	2034
3016	150	5.276093006134033	20.12	20.0	2.2664884065376767	25.0	15.0	22.867043	0.810896860123612	3016	2517	3016
4014	167	6.933570146560669	87.33	87.0	10.496805670913856	114.0	67.0	30.183346	1.0018865662254393	4014	3515	4014
5050	176	8.65576696395874	140.44	133.5	31.44188803542693	266.0	98.0	37.109993	1.2120450503844769	5050	4551	5050
6046	183	10.400100946426392	149.23	136.0	52.15920752171115	434.0	92.0	43.6009	1.1343332430627198	6046	5547	6046
7098	190	12.347913026809692	142.08	134.0	32.68882365456414	288.0	97.0	49.561836	1.036156775029376	7098	6599	7098
8093	198	13.707568883895874	81.13	81.0	10.395856789309786	109.0	62.0	55.428177	1.4453745849058033	8093	7594	8093
9058	208	15.627237796783447	177.93	169.5	54.98103529785741	387.0	101.0	60.004326	1.4216707065422087	9058	8559	9058
10081	214	16.988502025604248	87.56	86.0	12.414003171720022	121.0	69.0	63.83529	1.1241701752273365	10081	9582	10081
11028	226	18.508004188537598	115.67	101.0	46.49210968138854	381.0	73.0	67.49338	0.879505548318848	11028	10529	11028
12055	234	20.45548391342163	177.67	173.0	45.74436102577634	410.0	103.0	70.7705	1.1332477183267473	12055	11556	12055
13049	244	21.85940194129944	92.09	92.0	10.10659850460744	117.0	70.0	72.476425	1.035899082776159	13049	12550	13049
14110	250	23.605928897857666	132.21	131.0	8.435489004644293	154.0	116.0	73.877846	0.8384375381376594	14110	13611	14110
15022	259	25.26479196548462	162.64	161.0	17.371473190494836	268.0	135.0	75.321144	0.9442445388436318	15022	14523	15022
16176	266	27.38392996788025	219.59	205.0	50.613627541693674	410.0	146.0	75.75778	0.8233041455689818	16176	15677	16176
17179	271	29.42780590057373	174.24	172.0	12.162303078020058	205.0	152.0	76.465996	0.823359900387004	17179	16680	17179
18015	276	31.47896695137024	257.34	252.0	27.583928859267516	350.0	211.0	78.37177	0.6178974725864828	18015	17516	18015
19408	281	34.678020000457764	400.07	396.5	32.46295635572237	500.0	330.0	81.15594	0.48909045204520224	19408	18909	19408
20000	283	36.38803005218506	240.13	240.0	14.946135610818258	278.0	209.0	83.583145	0.7034280762448907	20000	19501	20000
