steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
10003	198	10.30098009109497	133.43	126.5	23.47887724674408	240.0	102.0	65.6875	1.16932984999381	10003	9504	10003
20073	292	21.037994146347046	144.5	145.0	7.557857640972879	161.0	126.0	81.0141	0.49889658723026514	20073	19574	20073
30383	340	32.97834825515747	500.0	500.0	0.0	500.0	500.0	93.71385	0.6593904639594257	30383	29884	30383
40190	376	44.36951208114624	500.0	500.0	0.0	500.0	500.0	106.861984	0.8211333490163087	40190	39691	40190
50000	582	55.19818711280823	94.96	95.0	2.7373953556863744	103.0	89.0	114.58534	1.3879849991574884	50000	49501	50000
60000	681	67.14744210243225	500.0	500.0	0.0	500.0	500.0	115.65413	1.219503084309399	60000	59501	60000
70001	782	77.46230626106262	106.41	106.0	3.6984708824981802	118.0	100.0	115.49999	1.203678465411067	70001	69502	70001
80010	920	89.81145811080933	500.0	500.0	0.0	500.0	500.0	136.995	1.675367547944188	80010	79511	80010
90036	1046	100.0652871131897	73.42	107.0	46.24401244343625	115.0	11.0	134.17299	1.4946349858120085	90036	89537	90036
100137	1162	114.48110604286194	500.0	500.0	0.0	500.0	500.0	130.21904	1.208047161307186	100137	99638	100137
110011	1340	128.62376809120178	17.66	18.0	1.8102960302590616	24.0	14.0	135.199	1.7577193647250533	110011	109512	110011
120035	1597	145.40167808532715	500.0	500.0	0.0	500.0	500.0	141.2858	1.5852421348169445	120035	119536	120035
130016	1669	157.4040253162384	172.9	102.0	154.0366282034336	500.0	96.0	124.85328	1.4183442298695446	130016	129517	130016
140287	1868	171.73122310638428	42.82	43.0	4.112999839140245	53.0	34.0	118.45281	1.2015810196101666	140287	139788	140287
150104	1957	186.2943422794342	431.3	500.0	142.584407041279	500.0	130.0	113.700264	1.1338726995326578	150104	149605	150104
160181	2045	203.41433191299438	500.0	500.0	0.0	500.0	500.0	112.84073	1.4533449928835034	160181	159682	160181
170002	2140	221.10245990753174	88.82	88.5	2.001918271977347	94.0	85.0	117.20481	1.5137406243383884	170002	169503	170002
180428	2328	236.5597321987152	227.51	226.5	4.459684728631372	236.0	218.0	124.65936	1.2189561535418034	180428	179929	180428
190025	2488	250.6166751384735	107.77	108.0	1.5945297904163636	112.0	104.0	124.28805	1.2919780445471405	190025	189526	190025
200010	2613	262.9692461490631	29.48	21.0	22.583841546333495	94.0	14.0	116.855576	1.2388146899454295	200010	199511	200010
210049	2869	278.0770151615143	32.8	20.0	26.751758178792016	92.0	14.0	126.16242	1.2277901912666858	210049	209550	210049
220033	3063	297.6231291294098	266.25	263.5	13.192724502466493	302.0	244.0	122.011314	1.1831734090298414	220033	219534	220033
230015	3313	310.3859601020813	90.21	90.0	2.2975393073213937	95.0	85.0	135.82846	0.9545802987366915	230015	229516	230015
240139	3464	326.1087911128998	500.0	500.0	0.0	500.0	500.0	126.742134	1.5139239057712257	240139	239640	240139
250004	3663	342.48341512680054	154.21	154.0	3.07579340179165	163.0	145.0	124.87599	1.4096021895483135	250004	249505	250004
260021	3830	357.88401222229004	92.91	93.0	4.4746084981952565	103.0	84.0	114.71525	1.17942786578089	260021	259522	260021
270001	4024	375.5534191131592	216.79	217.0	6.830257992376587	234.0	202.0	113.51686	0.9349491102900356	270001	269502	270001
280012	4603	392.3785653114319	9.3	9.0	0.8102873913406629	11.0	8.0	17897.473	647.114118347168	280012	279513	280012
290002	5478	414.6270580291748	9.42	9.0	0.8062884162016779	11.0	8.0	7447386.5	1022269.245	290002	289503	290002
300002	6359	434.10287714004517	9.56	10.0	0.671497647731614	11.0	8.0	63293376.0	12862804.69	300002	299503	300002
310001	7240	456.51835012435913	9.33	9.0	0.7255092255537736	11.0	8.0	214444200.0	48607633.02	310001	309502	310001
320002	8120	476.41487431526184	9.41	10.0	0.6681045100608409	10.0	8.0	569408400.0	129009874.8	320002	319503	320002
330009	9007	499.463947057724	9.39	9.0	0.7771353768420235	11.0	8.0	1164490400.0	263133192.56	330009	329510	330009
340004	9885	518.4753921031952	9.3	9.0	0.6890192121758832	11.0	8.0	1976806900.0	505142925.12	340004	339505	340004
350007	10768	536.9493601322174	9.25	9.0	0.7703468981143128	11.0	8.0	3137388000.0	788097042.88	350007	349508	350007
360004	11649	550.8620111942291	9.37	9.0	0.8245598764789552	11.0	8.0	4865454000.0	1218787512.32	360004	359505	360004
370008	12535	566.4266800880432	9.41	9.0	0.7666666666666666	11.0	8.0	6996859400.0	1808873429.12	370008	369509	370008
380007	13420	584.8238961696625	9.38	9.0	0.6931118527366563	11.0	8.0	9481528000.0	2475071923.2	380007	379508	380007
390002	14298	604.0148351192474	9.41	9.0	0.8656754238130706	11.0	8.0	13231176000.0	3396669249.28	390002	389503	390002
400008	15187	620.31179022789	9.3	9.0	0.8348471099367218	11.0	8.0	18103632000.0	4571178557.44	400008	399509	400008
410004	16074	638.9589121341705	9.38	9.0	0.6633249580710799	11.0	8.0	23643480000.0	6426563584.0	410004	409505	410004
420008	16951	656.0204870700836	9.29	9.0	0.7951240294584375	11.0	8.0	29132995000.0	7433263237.12	420008	419509	420008
430002	17831	674.2536473274231	9.36	9.0	0.6893123494842633	11.0	8.0	36640473000.0	9730725263.36	430002	429503	430002
440001	18710	694.1913890838623	9.31	9.0	0.7613783354528613	11.0	8.0	44832588000.0	12827387714.56	440001	439502	440001
450004	19589	714.900600194931	9.29	9.0	0.756053015083044	11.0	8.0	58053566000.0	14950649041.92	450004	449505	450004
460020	20473	733.4770121574402	9.49	10.0	0.6112580172368814	11.0	8.0	64562643000.0	17354707927.04	460020	459521	460020
470004	21353	753.4754841327667	9.21	9.0	0.7425726505966547	11.0	8.0	76986650000.0	20901497825.28	470004	469505	470004
